case_id,statute,offense_category,penalty,risk_of_escape,risk_of_influence,surety_bond_required,personal_bond_required,Lawyer Name,Client Name,Client ID,Case Details
1,NDPS,Crimes Against Children,Fine,False,False,True,False,Vikram Choudhary,Sneha Roy,1001,Case details here
2,SCST Act,Crimes Against Children,Both,False,False,True,True,Neha Singh,Ananya Sen,1002,Case details here
3,PMLA,Crimes Against Children,Fine,False,False,False,False,Vikram Choudhary,Ananya Sen,1003,Case details here
4,SCST Act,Crimes Against Children,Both,False,False,False,False,Rajesh Kumar,Ananya Sen,1004,Case details here
5,SCST Act,Offences Against the State,Imprisonment,False,False,False,True,Neha Singh,Rahul Gupta,1005,Case details here
6,CrPC,Offences Against the State,Imprisonment,False,True,True,True,Neha Singh,Kiran Malhotra,1006,Case details here
7,PMLA,Crimes Against Foreigners,Both,False,True,True,False,Rajesh Kumar,Sandeep Yadav,1007,Case details here
8,PMLA,Crimes Against SCs and STs,Imprisonment,False,False,False,False,Amit Sharma,Kiran Malhotra,1008,Case details here
9,PMLA,Cyber Crime,Imprisonment,False,True,True,True,Vikram Choudhary,Kiran Malhotra,1009,Case details here
10,SCST Act,Crimes Against Children,Imprisonment,False,True,True,False,Anil Kapoor,Deepak Joshi,1010,Case details here
11,NDPS,Crimes Against Foreigners,Imprisonment,False,True,False,True,Amit Sharma,Sandeep Yadav,1011,Case details here
12,PMLA,Crimes Against SCs and STs,Both,False,False,False,False,Neha Singh,Kiran Malhotra,1012,Case details here
13,SCST Act,Cyber Crime,Fine,False,True,False,False,Neha Singh,Deepak Joshi,1013,Case details here
14,CrPC,Economic Offence,Fine,False,True,True,True,Amit Sharma,Rahul Gupta,1014,Case details here
15,NDPS,Crimes Against Women,Imprisonment,False,True,True,True,Neha Singh,Rahul Gupta,1015,Case details here
16,CrPC,Offences Against the State,Fine,False,False,True,True,Amit Sharma,Manoj Tiwari,1016,Case details here
17,NDPS,Economic Offence,Fine,True,True,True,False,Priya Verma,Ananya Sen,1017,Case details here
18,SCST Act,Cyber Crime,Imprisonment,False,True,True,False,Rajesh Kumar,Ananya Sen,1018,Case details here
19,IPC,Economic Offence,Imprisonment,True,False,False,False,Neha Singh,Kiran Malhotra,1019,Case details here
20,NDPS,Crimes Against Women,Fine,False,False,True,False,Priya Verma,Sneha Roy,1020,Case details here
21,CrPC,Crimes Against Foreigners,Both,False,True,True,True,Priya Verma,Manoj Tiwari,1021,Case details here
22,SCST Act,Cyber Crime,Imprisonment,True,True,True,False,Anil Kapoor,Sneha Roy,1022,Case details here
23,NDPS,Economic Offence,Both,False,False,False,False,Neha Singh,Deepak Joshi,1023,Case details here
24,IPC,Offences Against the State,Fine,True,False,False,False,Anil Kapoor,Deepak Joshi,1024,Case details here
25,IPC,Offences Against the State,Imprisonment,True,False,False,True,Rajesh Kumar,Kiran Malhotra,1025,Case details here
26,PMLA,Crimes Against SCs and STs,Both,True,False,True,False,Vikram Choudhary,Sneha Roy,1026,Case details here
27,PMLA,Economic Offence,Imprisonment,False,False,False,False,Vikram Choudhary,Manoj Tiwari,1027,Case details here
28,CrPC,Crimes Against Children,Fine,False,False,False,True,Priya Verma,Rahul Gupta,1028,Case details here
29,NDPS,Economic Offence,Both,False,False,False,False,Neha Singh,Sandeep Yadav,1029,Case details here
30,NDPS,Crimes Against Foreigners,Fine,True,True,True,False,Neha Singh,Deepak Joshi,1030,Case details here
31,PMLA,Cyber Crime,Fine,True,False,False,True,Neha Singh,Sneha Roy,1031,Case details here
32,NDPS,Cyber Crime,Imprisonment,False,False,True,False,Amit Sharma,Manoj Tiwari,1032,Case details here
33,NDPS,Crimes Against Foreigners,Both,False,True,True,False,Sunita Mehta,Ananya Sen,1033,Case details here
34,IPC,Economic Offence,Fine,False,False,False,False,Vikram Choudhary,Ananya Sen,1034,Case details here
35,PMLA,Crimes Against Foreigners,Fine,False,False,True,True,Vikram Choudhary,Kiran Malhotra,1035,Case details here
36,SCST Act,Crimes Against Women,Both,False,True,False,False,Priya Verma,Sneha Roy,1036,Case details here
37,PMLA,Crimes Against Foreigners,Fine,True,False,True,False,Amit Sharma,Sneha Roy,1037,Case details here
38,SCST Act,Offences Against the State,Fine,True,True,False,True,Priya Verma,Kiran Malhotra,1038,Case details here
39,IPC,Crimes Against Foreigners,Both,True,True,False,True,Amit Sharma,Kiran Malhotra,1039,Case details here
40,CrPC,Cyber Crime,Both,False,True,False,False,Rajesh Kumar,Sneha Roy,1040,Case details here
41,NDPS,Offences Against the State,Both,True,True,True,False,Priya Verma,Manoj Tiwari,1041,Case details here
42,IPC,Cyber Crime,Both,True,False,False,False,Sunita Mehta,Ananya Sen,1042,Case details here
43,NDPS,Crimes Against SCs and STs,Imprisonment,True,True,True,False,Anil Kapoor,Rahul Gupta,1043,Case details here
44,CrPC,Crimes Against Children,Both,True,True,False,True,Priya Verma,Sneha Roy,1044,Case details here
45,CrPC,Cyber Crime,Imprisonment,True,False,True,False,Vikram Choudhary,Manoj Tiwari,1045,Case details here
46,IPC,Offences Against the State,Imprisonment,False,True,True,True,Rajesh Kumar,Sandeep Yadav,1046,Case details here
47,CrPC,Crimes Against SCs and STs,Imprisonment,True,True,False,True,Anil Kapoor,Kiran Malhotra,1047,Case details here
48,SCST Act,Cyber Crime,Fine,False,True,False,False,Vikram Choudhary,Manoj Tiwari,1048,Case details here
49,CrPC,Crimes Against Women,Imprisonment,False,True,False,False,Priya Verma,Sandeep Yadav,1049,Case details here
50,NDPS,Crimes Against Foreigners,Imprisonment,False,False,False,True,Sunita Mehta,Sandeep Yadav,1050,Case details here
51,NDPS,Crimes Against Children,Fine,False,True,False,True,Rajesh Kumar,Sneha Roy,1051,Case details here
52,NDPS,Cyber Crime,Fine,False,False,True,False,Vikram Choudhary,Rahul Gupta,1052,Case details here
53,NDPS,Crimes Against SCs and STs,Fine,True,False,False,True,Anil Kapoor,Manoj Tiwari,1053,Case details here
54,SCST Act,Crimes Against Women,Both,True,True,False,False,Rajesh Kumar,Sneha Roy,1054,Case details here
55,PMLA,Economic Offence,Fine,False,True,True,False,Anil Kapoor,Rahul Gupta,1055,Case details here
56,IPC,Crimes Against SCs and STs,Fine,False,True,False,True,Sunita Mehta,Sneha Roy,1056,Case details here
57,NDPS,Crimes Against Foreigners,Imprisonment,False,True,False,True,Vikram Choudhary,Sandeep Yadav,1057,Case details here
58,CrPC,Crimes Against SCs and STs,Fine,True,False,True,False,Rajesh Kumar,Deepak Joshi,1058,Case details here
59,NDPS,Crimes Against Women,Both,False,False,False,True,Priya Verma,Rahul Gupta,1059,Case details here
60,CrPC,Crimes Against SCs and STs,Fine,True,False,False,False,Anil Kapoor,Ananya Sen,1060,Case details here
61,CrPC,Crimes Against Women,Both,False,True,False,False,Rajesh Kumar,Sneha Roy,1061,Case details here
62,NDPS,Cyber Crime,Fine,True,False,True,False,Amit Sharma,Manoj Tiwari,1062,Case details here
63,SCST Act,Crimes Against Women,Fine,False,True,False,True,Rajesh Kumar,Manoj Tiwari,1063,Case details here
64,CrPC,Crimes Against Women,Fine,True,True,True,False,Neha Singh,Manoj Tiwari,1064,Case details here
65,CrPC,Crimes Against Children,Fine,False,True,False,False,Anil Kapoor,Rahul Gupta,1065,Case details here
66,NDPS,Crimes Against Women,Both,True,True,True,False,Anil Kapoor,Sandeep Yadav,1066,Case details here
67,CrPC,Crimes Against Women,Both,True,True,False,False,Amit Sharma,Sneha Roy,1067,Case details here
68,CrPC,Economic Offence,Imprisonment,True,False,True,False,Amit Sharma,Ananya Sen,1068,Case details here
69,NDPS,Cyber Crime,Both,True,False,True,False,Anil Kapoor,Manoj Tiwari,1069,Case details here
70,NDPS,Crimes Against Foreigners,Fine,True,True,True,False,Priya Verma,Kiran Malhotra,1070,Case details here
71,IPC,Crimes Against Children,Imprisonment,True,False,True,False,Sunita Mehta,Ananya Sen,1071,Case details here
72,SCST Act,Economic Offence,Imprisonment,True,True,True,False,Sunita Mehta,Sneha Roy,1072,Case details here
73,SCST Act,Offences Against the State,Imprisonment,False,True,True,False,Neha Singh,Sandeep Yadav,1073,Case details here
74,CrPC,Cyber Crime,Fine,False,True,False,False,Anil Kapoor,Kiran Malhotra,1074,Case details here
75,SCST Act,Cyber Crime,Both,False,False,False,True,Vikram Choudhary,Rahul Gupta,1075,Case details here
